line_name,station_name,town_code
1号線東山線,今池,23101013004
1号線東山線,亀島,23105026001
1号線東山線,池下,23101021007
1号線東山線,名古屋,23105115001
1号線東山線,八田,23110131000
1号線東山線,千種,23102002003
1号線東山線,中村公園,23105069001
1号線東山線,中村日赤,23105071004
1号線東山線,覚王山,23101056001
1号線東山線,伏見,23106018001
1号線東山線,高畑,23110075002
1号線東山線,本陣,23105071002
1号線東山線,新栄町,23102002001
1号線東山線,栄,23106018003
1号線東山線,岩塚,23105093009
2号線名港線,日比野,23109022002
2号線名港線,六番町,23109069003
2号線名港線,名古屋港,23111010002
2号線名港線,築地口,23111029004
2号線名港線,港区役所,23111033001
2号線名港線,東海通,23111068001
2号線名港線,金山,23106007001
2号線名城線,久屋大通,23106018003
2号線名城線,市役所,23106012003
2号線名城線,平安通,23103102001
2号線名城線,栄,23106018003
2号線名城線,大曽根,23103132001
2号線名城線,志賀本通,23103049002
2号線名城線,矢場町,23106011003
2号線名城線,上前津,23106009002
2号線名城線,東別院,23106023001
2号線名城線,黒川,23103055003
2号線名城線,名城公園,23103125002
2号線名城線,金山,23106007001
3号線鶴舞線,赤池,23230022001
3号線鶴舞線,いりなか,23107059000
3号線鶴舞線,八事,23107061101
3号線鶴舞線,原,23116043001
3号線鶴舞線,塩釜口,23116046002
3号線鶴舞線,植田,23116051003
3号線鶴舞線,平針,23116048003
3号線鶴舞線,浅間町,23104048001
3号線鶴舞線,鶴舞,23106017003
3号線鶴舞線,丸の内,23106028002
3号線鶴舞線,浄心,23104074003
3号線鶴舞線,川名,23107062008
3号線鶴舞線,大須観音,23106006002
3号線鶴舞線,上小田井,23104030000
3号線鶴舞線,御器所,23107002004
3号線鶴舞線,庄内通,23104043003
3号線鶴舞線,庄内緑地公園,23104107107
3号線鶴舞線,伏見,23106018002
3号線鶴舞線,荒畑,23107026003
3号線鶴舞線,上前津,23106009002
4号線名城線,砂田橋,23102050001
4号線名城線,茶屋ヶ坂,23101128001
4号線名城線,八事日赤,23107089003
4号線名城線,本山,23101116001
4号線名城線,総合リハビリセンター,23108109110
4号線名城線,八事,23107061104
4号線名城線,自由ヶ丘,23101055002
4号線名城線,名古屋大学,23101116000
4号線名城線,新瑞橋,23108049002
4号線名城線,ナゴヤドーム前矢田,23102045004
4号線名城線,西高蔵,23109021000
4号線名城線,神宮西,23109031001
4号線名城線,金山,23106007001
4号線名城線,伝馬町,23109041001
4号線名城線,瑞穂運動場東,23108078003
4号線名城線,堀田,23108037000
4号線名城線,妙音通,23108103003
