ファイル名,業態,市内外,組み合わせbits,組み合わせID,組み合わせ名,採用媒体数,採用媒体一覧,媒体,Shapley準拠_接触者平均,接触率,接触者数,重み付き貢献度,広告予算配分_推奨(RAW比),広告予算配分_推奨(0%下限正規化%)
1m5,学習塾(小学生~高校生向け),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",折込,-0.102389152,0.348818256,428,-43.82255713,45.91032831,0
1m5,学習塾(小学生~高校生向け),名古屋市内,11,C0003,折込+ポスティング,2,"折込,ポスティング",ポスティング,-0.15185278,0.277098615,340,-51.62994505,54.08967169,0
1m5,学習塾(小学生~高校生向け),名古屋市内,100,C0004,フリーペーパー,1,フリーペーパー,フリーペーパー,0.22837025,0.089649552,110,25.12072745,100,100
1m5,学習塾(小学生~高校生向け),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",折込,-0.092711266,0.348818256,428,-39.68042191,267.3652242,0
1m5,学習塾(小学生~高校生向け),名古屋市内,101,C0005,折込+フリーペーパー,2,"折込,フリーペーパー",フリーペーパー,0.22581038,0.089649552,110,24.83914177,-167.3652242,100
1m5,学習塾(小学生~高校生向け),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",ポスティング,-0.164830131,0.277098615,340,-56.04224446,216.8214444,0
1m5,学習塾(小学生~高校生向け),名古屋市内,110,C0006,ポスティング+フリーペーパー,2,"ポスティング,フリーペーパー",フリーペーパー,0.274500521,0.089649552,110,30.19505734,-116.8214444,100
1m5,学習塾(小学生~高校生向け),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",折込,-0.101041041,0.348818256,428,-43.24556564,59.92570844,0
1m5,学習塾(小学生~高校生向け),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",ポスティング,-0.17286158,0.277098615,340,-58.77293703,81.44210481,0
1m5,学習塾(小学生~高校生向け),名古屋市内,111,C0007,折込+ポスティング+フリーペーパー,3,"折込,ポスティング,フリーペーパー",フリーペーパー,0.271392776,0.089649552,110,29.8532054,-41.36781325,100
1m5,学習塾(小学生~高校生向け),名古屋市内,1000,C0008,web,1,web,web,0.669227766,0.150774246,185,123.8071367,100,100
